N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
575,1486,102 RM/B,LABORATORIO ANALISI CLINICHE IPERIONE S.R.L.,01222241000,LABORATORIO ANALISI CLINICHE IPERIONE S.R.L.,U00105/12,DECRETO DI ACCREDITAMENTO,via Amico Aspertini 109/111,ROMA,00133,41.8758341,12.6274534
586,1433,102 RM/B,LABORATORIO ANALISI CLINICHE PASTEUR SRL,03955921006,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE PASTEUR SRL,"U00329/12
U00176/13
U00258/14",DECRETO DI ACCREDITAMENTO,VIA MONTECASSIANO 157,ROMA,00156,41.943334,12.5716681
592,30,102 RM/B,LABORATORIO ANALISI CLINICHE TIBURTINO SRL,01062681000,LABORATORIO ANALISI CLINICHE - POLIAMBULATORIO,"U00260/12
U00277/13
U00201/14",DECRETO DI ACCREDITAMENTO,Viale Fernando Santi 38,ROMA,00155,41.912323,12.5667384
598,55,102 RM/B,LABORATORIO ANALISI LEPETIT SRL,04881320586,LABORATORIO ANALISI LEPETIT SRL,"U00062/12
U00092/13",DECRETO DI ACCREDITAMENTO,VIA FRANCESCO TOVAGLIERI 19,ROMA,00155,41.88263,12.5888172
599,1276,102 RM/B,LABORATORIO ANALISI PER LA DIAGNOSTICA MEDICA QUARTO MIGLIO S.R.L. UNIPERSONALE,01254201005,LABORATORIO ANALISI PER LA DIAGNOSTICA MEDICA QUARTO MIGLIO S.R.L. UNIPERSONALE,"U00130/12
U00327/14",DECRETO DI ACCREDITAMENTO,"Via Pozzobonelli, 8",ROMA,00178,41.84307,12.54884
620,1107,102 RM/B,LABORATORIO DI PATOLOGIA CLINICA EMMEPI SRL,01357611001,LABORATORIO DI PATOLOGIA CLINICA EMMEPI SRL,U00112/12,DECRETO DI ACCREDITAMENTO,Viale Spartaco 138,ROMA,00174,41.85502,12.56005
632,1028,102 RM/B,LABORATORIO DI VIA DIEGO ANGELI SRL,02150821003,LABORATORIO DI VIA DIEGO ANGELI SRL,U00261/12,DECRETO DI ACCREDITAMENTO,"VIA DIEGO ANGELI, 173",ROMA,00159,41.9063668,12.5513436
647,363,102 RM/B,LABORATORIO DIAGNOSTICO 'MARCELLO MALPIGHI'  S.R.L.,01237361009,STRUTTURA AMBULATORIALE LABORATORIO DIAGNOSTICO M. MALPIGHI S.R.L.,U00056/13,DECRETO DI ACCREDITAMENTO,"Via Tuscolana, 703",ROMA,00174,41.8615833,12.5543741
651,1726,102 RM/B,LABORATORIO FRACASTORO SRL,01309421004,LABORATORIO FRACASTORO SRL,"U00377/12
U00243/13",DECRETO DI ACCREDITAMENTO,Via Giuseppe Albanese Ruffo 40-46,ROMA,00173,41.85078000000001,12.59194
664,425,102 RM/B,LABORATORIO IRIS SRL,01295511008,LABORATORIO IRIS SRL,"U00397/12
U00369/13",DECRETO DI ACCREDITAMENTO,VIA DEI CASTANI 236,ROMA,00171,41.8880536,12.5656973
677,361,102 RM/B,MEDICAL RAY SRL,01557321005,MEDICAL RAY,"U00111/12
U00179/14",DECRETO DI ACCREDITAMENTO,VIA CARLO MEZZACAPO 49-55,ROMA,00159,41.8989084,12.5344471
702,1485,102 RM/B,MYCETE S.R.L.,01504211002, MYCETE S.R.L.,U00051/12,DECRETO DI ACCREDITAMENTO,VIA SAN POLO DEI CAVALIERI 20,ROMA,00159,41.9082023,12.5439427
703,1494,102 RM/B,NAMUSA ANALISI SRL,01039591001,NAMUSA ANALISI SRL,U00139/12,DECRETO DI ACCREDITAMENTO,VIA AUFIDIO NAMUSA 150-148-146-144,ROMA,00169,41.87152,12.57623
712,50,102 RM/B,OPERA MADONNA DIVINO AMORE SECONDA SRL,02118321005,CASA DI CURA - CENTRO DIAGNOSTICO - FISIOKINESITERAPIA OPERA  MADONNA DIVINO AMORE SECONDA SRL,U00093/14,DECRETO DI ACCREDITAMENTO,Via Casilina 1835/F,ROMA,00132,41.8627183,12.683953
717,721,102 RM/B,PIETRALATA S.R.L.,01005581002,PIETRALATA S.R.L.,"U00030/13
U00247/13",DECRETO DI ACCREDITAMENTO,Via dei Durantini n.¿ 360/366,ROMA,00157,41.9196828,12.545993
725,1636,102 RM/B,Synlab Lazio Srl,12337751007,Synlab Lazio Srl,"U00049/12
U00205/14",DECRETO DI ACCREDITAMENTO,VIA DI TORRENOVA 142 A,ROMA,00133,41.8731579,12.6187239
762,1004,102 RM/B,PRO.DI.LAB. S.R.L.,01376181002,PRO.DI.LAB. S.R.L.,U00484/12,DECRETO DI ACCREDITAMENTO,Via Casilina n.° 1838 ,ROMA,00132,,
764,1179,102 RM/B,RA.CI. S.N.C.,01350601009,RA.CI. S.N.C.,U00275/12,DECRETO DI ACCREDITAMENTO,PIAZZA DI CINECITTA',ROMA,00174,41.8526439,12.5692478
771,1674,102 RM/B,RADIOLOGIA COLLI ANIENE S.R.L.,01608071005,RADIOLOGIA COLLI ANIENE S.R.L.,U00159/14,DECRETO DI REVOCA,Viale Marx n. 203,ROMA,00156,41.9387872,12.5621094
772,1202,102 RM/B,RADIOLOGIA VILLA CHIGI S.R.L.,01664071006,RADIOLOGIA VILLA CHIGI ,U00020/13,DECRETO DI ACCREDITAMENTO,"via tenuta del casalotto, 55/m",ROMA,00118,41.8166924,12.6110467
776,412,102 RM/B,RAGGIO DI SOLE ONLUS,03523381006,RAGGIO DI SOLE ONLUS - PRESIDIO RIABILITAZIONE SEMI E RESIDENZIALE,U00216/14,DECRETO DI ACCREDITAMENTO,VIA PUBLIO DE TOMMASI 21,ROMA,00155,41.90979249999999,12.6144953
778,192,102 RM/B,RMX RADIOLOGIA MEDICA SRL,01551751009,RADIODIAGNOSTICA,U00318/12,DECRETO DI ACCREDITAMENTO,viale fernando santi 48/50,ROMA,00155,41.912323,12.5667384
799,591,102 RM/B,RX SONIC SRL,01335911002,RX SONIC,U00055/13,DECRETO DI ACCREDITAMENTO,VIA DEI GLICINI 119/B,ROMA,00172,41.8793501,12.5698142
811,662,102 RM/B,RX.C.A. S.R.L.,01110841002,RX.C.A. S.R.L.,U00371/13,DECRETO DI ACCREDITAMENTO,Via Dei Glicini n. 93,ROMA,00172,41.87960409999999,12.5673662
817,1233,102 RM/B,SAN FELICE S.R.L,01302791007,SAN FELICE  ANALISI CLINICHE S.R.L,U00217/12,DECRETO DI ACCREDITAMENTO,VIA MIRABELLA ECLANO n° 27,ROMA,00132,41.89185,12.63168
835,1828,102 RM/B,SAN MICHELE ARCANGELO S.P.A.,06040221001,SAN MICHELE ARCANGELO SPA,"U00263/13
U00381/14",DECRETO DI ACCREDITAMENTO,VIA DEI SESTILI 18,ROMA,00174,41.8632561,12.5458747
860,1346,102 RM/B,SERVIZI INTERCOMUNALI SAS DI MASTROVINCENZO MAURO & C.,05716021000,SERVIZI INTERCOMUNALI,U00356/14,DECRETO DI ACCREDITAMENTO,Via Casilina 1750,ROMA,00133,41.86409219999999,12.6659604
874,1332,102 RM/B,SIAR SOCIETÀ COOPERATIVA SOCIALE A R.L.,05384621008,ALESSANDRINO,U00311/13,DECRETO DI ACCREDITAMENTO,"Via delle Susine, 87",ROMA,00172,41.880301,12.5794595
891,199,102 RM/B,STRATI MARIA,00775461007, DOTT.SSA STRATI MARIA ,U00221/12,DECRETO DI ACCREDITAMENTO,Via Casale del Finocchio 2,ROMA,00132,41.8636955,12.691495
908,443,102 RM/B,STUDIO DIAGNOSTICO CIAMARRA 2000 S.R.L.,01515051009,STUDIO DIAGNOSTICO CIAMARRA 2000 S.R.L.,U00121/12,DECRETO DI ACCREDITAMENTO,viale bruno rizzieri 203,ROMA,00173,41.8529393,12.5902903
913,630,102 RM/B,STUDIO RADIODIAGNOSTICO DR. VINCENZO GIOVINAZZO S.N.C.,01765811003,STUDIO RADIODIAGNOSTICO DR. VINCENZO GIOVINAZZO S.N.C.,"U00481/12
U00362/13",DECRETO DI ACCREDITAMENTO,VIA CIPRIANO FACCHINETTI 129,ROMA,00159,41.905956,12.5498251
921,1212,102 RM/B,STUDIO RADIOLOGICO CASILINO SRL,01875781005,STUDIO RADIOLOGICO CASILINO SRL,"U00003/13
U00360/13",DECRETO DI ACCREDITAMENTO,"PIAZZA SAN FELICE DA CANTALICE, 12",ROMA,00172,41.8768696,12.5662212
924,1786,102 RM/B,STUDIO RADIOLOGICO DI C. E G. PAROLA SRL,01525961007,STRUTTURA AMBULATORIALE STUDIO RADIOLOGICO DI C. E G. PAROLA SRL,U00083/13,DECRETO DI ACCREDITAMENTO,Via del Fuoco Sacro 136,ROMA,00133,41.8659048,12.643706
930,1246,102 RM/B,STUDIO RADIOLOGICO GUERRISI S.R.L.,04387721006,STUDIO RADIOLOGICO GUERRISI S.R.L.,"U00398/12
U00187/13",DECRETO DI ACCREDITAMENTO,VIA TIBURTINA 572,ROMA,00159,41.9085274,12.5434861
931,180,102 RM/B,STUDIO RADIOLOGICO MINERVA SRL,01926361005,STUDIO RADIOLOGICO MINERVA  SRL,U00059/12,DECRETO DI ACCREDITAMENTO,via a aspertini 115,ROMA,00133,41.8756415,12.6273429
953,671,102 RM/B,STUDIO RADIOLOGICO PANTARAY,01810831006,STUDIO RADIOLOGICO PANTARAY,U00321/12,DECRETO DI ACCREDITAMENTO,VIA DEI CASTANI 170,ROMA,00171,41.8863007,12.5662862
955,409,102 RM/B,TE.RI.,01000571008,TE.RI. ,U00158/13,DECRETO DI ACCREDITAMENTO,via Renato Simoni 31,ROMA,00157,41.9092302,12.5388601
967,277,102 RM/B,TERAPIA FISICA E RIABILITAZIONE S.R.L.,01005741002,TERAPIA FISICA E RIABILITAZIONE S.R.L.,U00230/12,DECRETO DI ACCREDITAMENTO,"via dei Monti di Pietralata, 35-37-39-39a; via I.C. Falbo,3",ROMA,00157,41.91079999999999,12.5365296
971,2624,102 RM/B,VILLA ALBA S.R.L.,01707861009,VILLA ALBA ROMA - VIA CASILINA,U00089/14,DECRETO DI ACCREDITAMENTO,"Via Casilina, 1290",ROMA,00133,41.8639521,12.6069407
973,1738,102 RM/B,VILLA TUSCOLANA S.R.L.,00884431008,VILLA TUSCOLANA S.R.L.,U00430/13,DECRETO DI ACCREDITAMENTO,CIRCONVALLAZIONE TUSCOLANA 16,ROMA,00174,41.85206,12.569
982,429,102 RM/B,ZANGRILLI LUIGI,05613730588,DOTT. LUIGI ZANGRILLI,U00129/12,DECRETO DI ACCREDITAMENTO,via dei Castani 170,ROMA,00171,41.8863007,12.5662862
1028,5850,102 RM/B,LUSAN S.R.L.,05888541009,RSA RESIDENZA MAGNOLIA,U00206/14,DECRETO DI ACCREDITAMENTO,"VIA MONTEPRANDONE, 65",ROMA,00132,41.9146292,12.7267541
1029,5653,102 RM/B,CENTRO RICERCHE PATOLOGIA CLINICA SRL,01323861003,RSA LONGONI *2,"U00339/13
U00382/14",DECRETO DI ACCREDITAMENTO,Via Emilio Longoni 69,ROMA,00155,41.89921580000001,12.6031997
869,1159,103 RM/C,A.L.M. ASSOCIAZIONE LAZIALE MOTULESI ONLUS,01128631007,A.L.M. ONLUS CENTRO DI RIABILITAZIONE   PAPA GIOVANNI XXIII,"U00320/13
U00395/13
U00064/14",DECRETO DI ACCREDITAMENTO,VIALE ALDO BALLARIN 106/108,ROMA,00142,41.8371557,12.4976033
843,727,103 RM/C,CAN.BI.AS. LABORATORIO ANALISI CLINICHE CARAVAGGIO SRL,01028301008,POLIAMBULATORIO SPECIALISTICO ,"U00460/12
U00063/13
U00393/13
U00362/14",DECRETO DI ACCREDITAMENTO,Via Accademia degli Agiati n.65,ROMA,00147,41.8506302,12.4906912
954,950,103 RM/C,ALEMAR IMMAGINI DIAGNOSTICHE S.R.L.,04288951009,ALEMAR IMMAGINI DIAGNOSTICHE S.R.L.,U00021/13,DECRETO DI ACCREDITAMENTO,"Via accademia degli agiati, 67",ROMA,00147,41.85069,12.49044
448,1199,103 RM/C,ANALISI CLINICHE DR. NATALINI RICCARDO,10823831002,ANALISI CLINICHE DR. NATALINI RICCARDO,U00397/14,DECRETO DI REVOCA,via teano 233,ROMA,00177,41.8895367,12.55014
950,928,103 RM/C,ANALISI CLINICHE MALATESTA,01044081006,STRUTTURA AMBULATORIALE ANALISI CLINICHE MALATESTA SAS DI DONATO PICCOLELLI,U00058/12,DECRETO DI ACCREDITAMENTO,VIA RENZO DA CERI 196,ROMA,00176,41.88669489999999,12.5384647
61,1229,103 RM/C,ANALISI CLINICHE PAVESE S.R.L.,06230931005,ANALISI CLINICHE PAVESE SRL,U00176/12,DECRETO DI ACCREDITAMENTO,Viale Cesare Pavese n.410,ROMA,00144,41.8182363,12.4681678
744,903,103 RM/C,BIOMEDICAL S.R.L.,07668941003,BIOMEDICAL S.R.L.,U00193/12,DECRETO DI ACCREDITAMENTO,Via Paolo di Dono n.° 9,ROMA,00142,,
866,1111,103 RM/C,BIOROMA SRL,01252371008,BIOROMA SRL,U00097/12,DECRETO DI ACCREDITAMENTO,VIA PISINO 159H,ROMA,00177,41.8991699,12.5602053
413,926,103 RM/C,BIOTEST TUSCOLO S.R.L.,01361411000,STRUTTURA AMBULATORIALE BIOTEST TUSCOLO SRL,U00251/12,DECRETO DI ACCREDITAMENTO,VIA OLEVANO ROMANO 220,ROMA,00171,41.8911457,12.5554878
621,617,103 RM/C,BOMPIANI S.R.L.,01101091005,STRUTTURA AMBULATORIALE BOMPIANI S.R.L.,U00369/12,DECRETO DI ACCREDITAMENTO,Via Benedetto Bompiani 20,ROMA,00147,41.8584274,12.5037126
150,1438,103 RM/C,C.R.C. BALBUZIE S.R.L.,06936541009,C.R.C. BALBUZIE SRL,"U00199/13
U00412/13",DECRETO DI ACCREDITAMENTO,Viale Beethoven 56,ROMA,00144,41.8320356,12.4660497
388,884,103 RM/C,CAFFARO FISIOKINESITERAPICO  SRL,04483661007,CAFFARO FISIOKINESITERAPICO SRL,U00052/12,DECRETO DI ACCREDITAMENTO,via Caffaro 127 - 133,ROMA,00154,41.86649999999999,12.48588
730,547,103 RM/C,CAN.BI.AS. LABORATORIO ANALISI CLINICHE CARAVAGGIO SRL,01028301008,CAN.BI.AS. LABORATORIO ANALISI CLINICHE CARAVAGGIO SRL,"U00200/12
U00362/14",DECRETO DI ACCREDITAMENTO,VIA ACCADEMIA DEGLI AGIATI N.65,ROMA,00147,41.8506302,12.4906912
993,37,103 RM/C,CASA DI CURA VILLA ANNA MARIA SRL,04650081005,CASA DI CURA VILLA ANNA MARIA SRL,U00104/14,DECRETO DI ACCREDITAMENTO,VIA SATURNIA 25,ROMA,00183,41.8798155,12.5064458
959,345,103 RM/C,CASILINO LAB SRL,01318831003,PRESIDIO DI DIAGNOSTICA DI LABORATORIO,U00172/12,DECRETO DI ACCREDITAMENTO,Via Cina n. 42,ROMA,00144,41.8157842,12.4369762
594,28,103 RM/C,CEDILAB S.R.L.,01040691006,CEDILAB (LABORATORIO GENERALE DI BASE),U00469/12,DECRETO DI ACCREDITAMENTO,"VIA CERRETO DI SPOLETO, 9",ROMA,00181,41.8772496,12.5258225
133,1257,103 RM/C,CENTRO DI RIABILITAZIONE IST. FIGLIE S.M. DELLA DIV. PROVV. 'CASA SANTA ROSA',01062811003,CASA SANTA ROSA,U00045/14,DECRETO DI ACCREDITAMENTO,"Via Appia Antica, 203",ROMA,00178,41.84554,12.52798
609,414,103 RM/C,CENTRO DI RIABILITAZIONE VACLAV VOJTA SOCIETÀ COOPERATIVA,01190961001,CENTRO DI RIABILITAZIONE VACLAV VOJTA,U00301/13,DECRETO DI ACCREDITAMENTO,Via Salvatore Pincherle 186,ROMA,00146,41.8535854,12.4672096
619,593,103 RM/C,CENTRO DIAGNOSTICO S.R.L.,04805981000,CENTRO DIAGNOSTICO S.R.L.,"U00399/13
U00286/14",DECRETO DI ACCREDITAMENTO,"Via F. A. Pigafetta, 1",ROMA,00154,41.87012379999999,12.4845546
709,225,103 RM/C,CENTRO ITALIANO DI SOLIDARIETÀ DON MARIO PICCHI,02151521008,"CE.I.S. DON MARIO PICCHI ""VIA AMBROSINI"" ",U00286/13,DECRETO DI ACCREDITAMENTO,Via Attilio Ambrosini 129 ,ROMA,00147,41.8498957,12.4909531
200,75,103 RM/C,CENTRO REGIONALE S. ALESSIO - MARGHERITA DI SAVOIA PER I CIECHI,02042591004,CENTRO REGIONALE S. ALESSIO MARGHERITA DI SAVOIA PER I CIECHI,U00135/14,DECRETO DI ACCREDITAMENTO,"VIALE CARLO TOMMASO ODESCALCHI, 38",ROMA,00147,41.8564806,12.5006576
512,875,103 RM/C,CENTRO RICERCHE PATOLOGIA CLINICA SRL,01323861003,CENTRO RICERCHE PATOLOGIA CLINICA,"U00402/12
U00217/13",DECRETO DI ACCREDITAMENTO,Viale Città d' Europa 664,ROMA,00144,41.82022509999999,12.4515582
300,1689,103 RM/C,CER.LAB. S.R.L.,01253611006,STRUTTURA AMBULATORIALE CER.LAB. S.R.L. LABORATORIO ANALISI,"U00389/12
U00305/13",DECRETO DI ACCREDITAMENTO,Via Cerveteri n 14,ROMA,00183,41.8817154,12.5123435
781,1603,103 RM/C,CER.LAB. S.R.L.,01253611006,STRUTTURA AMBULATORIALE CER.LAB. S.R.L. DIALISI,U00409/14,DECRETO DI ACCREDITAMENTO,Vicolo Tuscolano n. 28,ROMA,00181,41.8672142,12.5388639
604,935,103 RM/C,CHEA SRL,01233361003,LABORATORIO ANALISI CLINICHE,U00294/12,DECRETO DI ACCREDITAMENTO,Via Sermoneta 14-16,ROMA,00179,41.867468,12.5312709
79,282,103 RM/C,CLINICA LATINA S.P.A.,01069901005,CLINICA LATINA S.P.A.,U00034/14,DECRETO DI ACCREDITAMENTO,VIA VULCI N. 16,ROMA,00183,41.8776264,12.5041285
972,445,103 RM/C,COOPERATIVA CIR ONLUS,05517731005,COMUNITA' CASA D'ORO,U00483/13,DECRETO DI ACCREDITAMENTO,VICOLO CASILINO N. 5,ROMA,00177,41.8803561,12.5431131
251,68,103 RM/C,DIAVERUM ITALIA S.R.L.,02243300361,DIAVERUM ITALIA S.R.L. - ROMA,U00445/13,DECRETO DI ACCREDITAMENTO,Via Vincenzo cerulli n. 2/b,ROMA,00144,41.82470379999999,12.4912308
901,1662,103 RM/C,DR. GELLINI MASSIMO,02009110582,DR. GELLINI MASSIMO,U00177/12,DECRETO DI ACCREDITAMENTO,PIAZZA SULMANA 4,ROMA,00182,41.882981,12.5133525
142,1341,103 RM/C,EMATOLAB SNC,01055631004,EMATOLAB SNC,"U00162/12
U00148/13
U00295/13",DECRETO DI ACCREDITAMENTO,via francesco laparelli 64/66,ROMA,00176,41.8797494,12.5394753
943,147,103 RM/C,ESPERANTO SOCIETA COOPERATIVA SOCIALE,04699631000,ESPERANTO,U00200/13,DECRETO DI ACCREDITAMENTO,Viale dell'Esperanto 58,ROMA,00144,41.8268246,12.4627731
157,1599,103 RM/C,F.E.N.I.G. SRL SOCIETÀ UNIPERSONALE,02938490584,CASA DI CURA ADDOMINALE EUR - KAROL WOITILA HOSPITAL AMBULATORI - PRESIDIO TECNICO ORGANIZZATIVO,U00343/13,DECRETO DI ACCREDITAMENTO,"Viale Africa, 32",ROMA,00144,41.82481749999999,12.477152
95,529,103 RM/C,FISIO EUROPA S.N.C. DI CARLO BIANCO & C.,04128191006,FISIO EUROPA S.N.C. DI CARLO BIANCO & C.,U00339/12,DECRETO DI ACCREDITAMENTO,VIALE DELL'UMANESIMO 308,ROMA,00144,41.8279536,12.4610203
208,201,103 RM/C,FISIO.CAST. SRL,05701431008,FISIO.CAST S.R.L. AMBULATORIO,U00047/12,DECRETO DI ACCREDITAMENTO,Via Taranto 90,ROMA,00182,41.8840779,12.5163365
344,293,103 RM/C,FISIOKINESITERAPIA S.R.L.,01320121005,FISIOKINESITERAPIA SRL,"U00066/12
U00008/14",DECRETO DI ACCREDITAMENTO,VIA ALTAVILLA IRPINA 17,ROMA,00177,41.89073,12.55183
397,1138,103 RM/C,FISIONIR SRL,04684931001,STRUTTURA AMBULATORIALE FISIONIR,U00202/12,DECRETO DI ACCREDITAMENTO,Via Leonardo Umile 33,ROMA,00144,41.8066269,12.444949
283,1517,103 RM/C,FISIOSEMERIA S.R.L.,04795090580,STRUTTURA AMBULATORIALE FISIOSEMERIA SRL,"U00254/12
U00046/14",DECRETO DI ACCREDITAMENTO,"VIA GUGLIELMO CIAMARRA, 34",ROMA,00154,41.86854049999999,12.4940999
361,456,103 RM/C,FONDAZIONE SANTA LUCIA IRCCS,05692831000,FONDAZIONE SANTA LUCIA IRCCS - CELEBRO LESIONI GRAVI,"U00532/13
U00108/14",DECRETO DI ACCREDITAMENTO,VIA ARDEATINA 306,ROMA,00179,41.84321,12.51553
837,567,103 RM/C,GABINETTO FISIOKINESITERAPIA CORIOLANO S.R.L.,01328061005,GABINETTO FISIOKINESITERAPIA CORIOLANO S.R.L.,U00160/12,DECRETO DI ACCREDITAMENTO,VIA CORIOLANO 40,ROMA,00181,41.8731369,12.5274168
136,1284,103 RM/C,Gamma s.r.l.,01159621000,PRESIDIO DI LABORATORIO GAMMA DI LUCA MARINO SNC,"U00056/12
U00332/12
U00145/13",DECRETO DI ACCREDITAMENTO,"Via Francesco Patrizio da Cherso, 10",ROMA,00143,41.8224782,12.5076176
217,326,103 RM/C,ITALO AMERICAN ORTOPEDIC S.R.L.,00958691008,ITALO AMERICAN ORTOPEDIC SRL,U00246/12,DECRETO DI ACCREDITAMENTO,Via Cividale del Friuli n.7a,ROMA,00183,41.87717,12.51727
11,1247,103 RM/C,LABORATORIO ANALISI CLINICHE PRENESTE S.R.L.,00990101008,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE PRENESTE SRL,U00167/12,DECRETO DI ACCREDITAMENTO,via prenestina 240,ROMA,00176,41.89239999999999,12.54042
235,653,103 RM/C,LABORATORIO ANALISI TRE PINI SRL,01335141006,STRUTTURA AMBULATORIALE LABORATORIO TRE PINI SRL,U00199/12,DECRETO DI ACCREDITAMENTO,VIA ASCANIO VITOZZI 50,ROMA,00128,41.7859882,12.4311948
102,656,103 RM/C,LABORATORIO ANALISI ZAFFINO S.R.L.,01317781001,LABORATORIO ANALISI ZAFFINO S.R.L.,U00185/12,DECRETO DI ACCREDITAMENTO,via mirandola 29,ROMA,00182,41.8818685,12.5241117
481,370,103 RM/C,LABORATORIO OSTIENSE S.R.L.,01311651002,LABORATORIO ANALISI,U00038/13,DECRETO DI ACCREDITAMENTO,VIA OSTIENSE 38 F/G/H,ROMA,00154,41.8734064,12.4801917
479,351,103 RM/C,MAZ MEDICAL SRL,01259851002,MAZ MEDICAL ,U00110/12,DECRETO DI ACCREDITAMENTO,VIA PIETRO SENSINI 38 - 46,ROMA,00176,41.8835564,12.5359456
669,1521,103 RM/C,MEDICAL ACTA S.R.L. - SOCIETÀ UNIPERSONALE,01310551005,STRUTTURA AMBULATORIALE MEDICAL ACTA - SRL UNIPERSONALE,"U00263/12
U00274/14",DECRETO DI ACCREDITAMENTO,viale della serenissima 22,ROMA,00177,41.8955734,12.5591481
754,1145,103 RM/C,MEDICAL RESEARCH S.R.L.,01734621004,MEDICAL RESEARCH S.R.L.,"U00373/12
U00180/13",DECRETO DI ACCREDITAMENTO,VIA TEODORO MOMMSEN 45,ROMA,00179,41.867129,12.5279131
498,560,103 RM/C,MESSANA SRL,01354221002,MESSANA SRL,U00067/12,DECRETO DI ACCREDITAMENTO,"VIA GALLIA, 60",ROMA,00183,41.88125429999999,12.5021774
250,872,103 RM/C,MR 3000 SRL,05201941001,MR3000 SRL,"U00299/12
U00228/13",DECRETO DI ACCREDITAMENTO,via Raffaele De Cesare 6,ROMA,00179,41.8735394,12.5239674
201,19,103 RM/C,NAMUR SRL,07715081001,POL.RIO POLISP.CO MADONNA DELLA FIDUCIA ,"U00112/13
U00415/13",DECRETO DI ACCREDITAMENTO,"via Mantellini, 3",ROMA,00179,41.874,12.51673
980,668,103 RM/C,NEUROLOGICAL CENTRE OF LATIUM - ISTITUTO DI NEUROSCIENZE S.R.L.,08239981007,NEUROLOGICAL CENTRE OF LATIUM ISTITUTO DI NEUROSCIENZE - RSA R2,U00486/13,DECRETO DI ACCREDITAMENTO,Via Patrica n 15,ROMA,00177,41.8666721,12.5412416
595,119,103 RM/C,NIKE 85 SRL,01715311005,NIKE 85 SRL,U00057/12,DECRETO DI ACCREDITAMENTO,"Via Francesco Patrizio da Cherso, 10",ROMA,00143,41.8224782,12.5076176
606,979,103 RM/C,NUOVA CLINICA ANNUNZIATELLA,05066941005,NUOVA CLINICA ANNUNZIATELLA - CENTRO DIALISI AMBULATORIALE,U00349/14,DECRETO DI ACCREDITAMENTO,VIA MEROPIA 124,ROMA,00147,41.8552766,12.5058037
564,1750,103 RM/C,OPERA SANTE DE SANCTIS ONLUS ASS. PER LA TERAPIA E LA RIABILITAZIONE DEGLI HANDICAP. PSICO-FISICI,09452921001,CENTRO PIAZZA GIUSEPPE CARDINALI,U00205/13,DECRETO DI ACCREDITAMENTO,Piazza G. Cardinali 15,ROMA,00177,41.8747056,12.5451831
268,753,103 RM/C,POLIAMBULATORIO CAVE S.R.L. CON SOCIO UNICO,01355041003,VISITE SPECIALISTICHE - DIAGNOSTICA PER IMMAGINI E DI LABORATORIO -RECUPERO E RIBILITAZIONE -  PANIGEA,"U00467/12
U00059/14",DECRETO DI ACCREDITAMENTO,VIA DELLE CAVE 84/86,ROMA,00166,41.8715598,12.5308497
741,797,103 RM/C,POLISPECIALISTICA GARDA SRL,01345321002,POLISPECIALISTICA GARDA,U00376/12,DECRETO DI ACCREDITAMENTO,"VIALE CADUTI DELLA RESISTENZA, 79",ROMA,00128,41.7897726,12.4462354
958,338,103 RM/C,PRAXIMEDICA S.R.L.,01319331003,PRAXIMEDICA S.R.L.,U00178/12,DECRETO DI ACCREDITAMENTO,via Magnagrecia 117,ROMA,00183,41.88083719999999,12.5083128
583,1043,103 RM/C,PREMEDICASRL,01309431003,PREMEDICA,U00383/12,DECRETO DI ACCREDITAMENTO,VIA TARANTO 18 ,ROMA,00182,41.8849425,12.5123021
652,1357,103 RM/C,RADIOLOGIA CAVALCANTI S.R.L.,04945961003,RADIOLOGIA CAVALCANTI S.R.L.,U00027/13,DECRETO DI ACCREDITAMENTO,via Taranto 58,ROMA,00182,41.88451,12.5148
329,1076,103 RM/C,RADIOLOGIA DR. DIOTALLEVI SRL,01259391009,STRUTTURA AMBULATORIALE RADIOLOGIA DR. DIOTALLEVI SRL,"U00218/12
U00153/13
U00299/13",DECRETO DI ACCREDITAMENTO,"Via Prenestina, 321",ROMA,00177,41.893902,12.5504641
27,1541,103 RM/C,RADIOLOGIA E DIAGNOSI CLINICA SRL - SOCIETÀ UNIPERSONALE,01319321004,STRUTTURA AMBULATORIALE RADIOLOGIA E DIAGNOSI CLINICA SRL - UNIPERSONALE,"U00406/12
U00262/14",DECRETO DI ACCREDITAMENTO,Viale della Serenissima 22,ROMA,00177,41.8955734,12.5591481
600,203,103 RM/C,RADIOLOGIA MOSTACCIANO SRL,01321781005,PRESIDIO 1 E 2,U00386/12,DECRETO DI ACCREDITAMENTO,Via delle Costellazioni 306,ROMA,00144,41.8155562,12.4486688
558,1644,103 RM/C,Società Caffaro s.r.l.,01319441000,Società Caffaro s.r.l.,"U00271/12
U00347/14",DECRETO DI ACCREDITAMENTO,"Via Caffaro, 137",ROMA,00154,41.8666373,12.4858446
352,970,103 RM/C,ROCOMAR ANALISI CLINICHE M. MASSIMO S.R.L.,01147121006,ROCOMAR ANALISI CLINICHE M.MASSIMO S.R.L.,"U00264/12
U00498/13",DECRETO DI ACCREDITAMENTO,Via Vincenzo Cerulli n. 2/b,ROMA,00143,41.82470379999999,12.4912308
