N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
114,791,112 FROSINONE,SOCIETÀ COOPERATIVA SAN FRANCESCO,01599680608,R.S.A. SAN FRANCESCO,U00110/14,DECRETO DI ACCREDITAMENTO,"Via San Francesco Di Fuori, 14",ALATRI,03011,41.7253443,13.3339046
375,661,112 FROSINONE,SOGEPI SRL,00351140603,VILLA DEGLI ULIVI,U00353/13,DECRETO DI ACCREDITAMENTO,"via Tascitara , 9",SANT`ELIA FIUMERAPIDO,03049,41.53693,13.87296
682,1927,112 FROSINONE,SOGEPI SRL,00351140603,S.R.T.R. LE PALME E GLI OLEANDRI,"U00345/13
U00464/13",DECRETO DI ACCREDITAMENTO,via Tascitara 9,SANT`ELIA FIUMERAPIDO,03049,41.53693,13.87296
784,1652,112 FROSINONE,STUDIO DIAGNOSTICO E RADIOLOGICO SIROLLI S.R.L.,01314811009,CENTRO DIAGNOSTICO E RADIOLOGICO SIROLLI,U00328/14,DECRETO DI ACCREDITAMENTO,via ALFIERI 21/23,CEPRANO,03024,41.5455677,13.5183331
342,197,112 FROSINONE,T.E.A.R. SRL,01882210600,RSA MADONNA DELLE GRAZIE,U00315/13,DECRETO DI ACCREDITAMENTO,VIA FARNETE 5,PONTECORVO,03037,41.44416,13.64241
573,1190,112 FROSINONE,TERME DI POMPEO (EX STUDIO MEDICO FERENTINO SRL ),00391470606,AMBULATORIO POLISPECIALISTICO STUDIO MEDICO FERENTINO,"U00417/13
U00476/13",DECRETO DI ACCREDITAMENTO,VIA CASILINA SUD KM.76,FERENTINO,03013,41.6956788,13.2577285
166,1669,112 FROSINONE,TERME POMPEO S.R.L.,00322640608,TERME POMPEO SRL,"U00354/13
U00078/14",DECRETO DI ACCREDITAMENTO,VIA CASILINA KM.76,FERENTINO,03013,41.6956788,13.2577285
339,2620,112 FROSINONE,VILLA ALBA S.R.L.,01707861009,VILLA ALBA VEROLI SR E NR,U00304/14,DECRETO DI ACCREDITAMENTO,"Via Foiano, 34",VEROLI,03020,41.67616,13.43019
808,118,112 FROSINONE,VILLA GIOIA CASA DI CURA PRIVATA SRL,00223710609,VILLA GIOIA CASA DI CURA S.R.L,U00389/13,DECRETO DI ACCREDITAMENTO,viale San Domenico 1\f,SORA,03039,41.7138966,13.6057304
1049,5759,112 FROSINONE,VILLA LETIZIA 2006 S.R.L.,08802351000,RSA VILLA LETIZIA *2 - 2 NUCLEI,U00028/14,DECRETO DI ACCREDITAMENTO,SS 156 MONTI LEPINI KM 11.300,PATRICA,03010,41.5916799,13.2427548
1050,5637,112 FROSINONE,EUROSANITA' S.P.A,06726891002,RSA SANT'ELISABETTA 2 *2,"U00129/14
U00321/14",DECRETO DI ACCREDITAMENTO,"Via Vecchia Fiuggi, 209",FIUGGI,03014,41.792992,13.221625
